Fecha,Título,Sumario,Enlace
25/11/2024,Ministro confirma que el PGE 2025 incorpora subvención a combustibles,"El Presupuesto General del Estado (PGE) de 2025 incorpora recursos económicos para mantener la subvención a los hidrocarburos, que le representa a Bolivia un presupuesto semanal de al menos $us 56 millones, informó el ministro de Hidrocarburos, Alejandro Gallardo.",https://www.lostiempos.com/actualidad/pais/20241125/ministro-confirma-que-pge-2025-incorpora-subvencion-combustibles
25/11/2024,El Presidente inaugura el Congreso Plurinacional de Educación,"Con la premisa de transformar la educación el presidente Luis Arce inauguró el Congreso Plurinacional de Educación, que se realiza en el Coliseo de la Universidad Juan Misael Saracho, en Tarija.",https://www.lostiempos.com/actualidad/pais/20241125/presidente-inaugura-congreso-plurinacional-educacion
25/11/2024,Suspenden hasta el 6 de enero el juicio por el caso 'Golpe I' contra Camacho y Pumari,"El tribunal del caso denominado ""Golpe de Estado I"" ha decidido este lunes un cuarto intermedio hasta el 6 de enero de 2025. En este caso los acusados presenciales son Luis Fernando Camacho y Marco Pumari.",https://www.lostiempos.com/actualidad/pais/20241125/suspenden-6-enero-juicio-caso-golpe-i-contra-camacho-pumari
25/11/2024,"La ciudad, con un clima templado y probabilidad de lluvias este lunes","La ciudad de Cochabamba tendrá este lunes un día con un clima templado y probabilidad de lluvias en horas de la tarde, según el pronóstico extendido del Senamhi.",https://www.lostiempos.com/actualidad/cochabamba/20241125/ciudad-clima-templado-probabilidad-lluvias-este-lunes
25/11/2024,"Hallan sin vida a Camila,  desaparecida durante la mazamorra de Bajo Llojeta","Después de largas horas de búsqueda de Camila, la niña de cinco años  desaparecida tras la mazamorra en Bajo Llojeta, fue encontrada sin vida en una de las habitaciones de la vivienda de su tío,  confirmó el director de Bomberos de la Policía, Pavel Tovar.",https://www.lostiempos.com/actualidad/pais/20241125/hallan-vida-camila-desaparecida-mazamorra-llojeta
25/11/2024,ONU Mujeres: Cada diez minutos asesinan a una mujer o niña,"De acuerdo con un informe de ONU Mujeres, 85.000 mujeres y niñas fueron asesinadas intencionalmente en 2023 a escala mundial; es decir, cada 10 minutos se dio una nueva víctima.",https://www.lostiempos.com/actualidad/seguridad/20241125/onu-mujeres-cada-diez-minutos-asesinan-mujer-nina
25/11/2024,Prepara tu hogar para la Navidad. 5 ideas de decoración  con un toque especial,"La Navidad se acerca y, con ella, la oportunidad perfecta para renovar la decoración del hogar con un toque personal y creativo",https://www.lostiempos.com/oh/tendencias/20241125/prepara-tu-hogar-navidad-5-ideas-decoracion-toque-especial
25/11/2024,Fiscalía abre proceso penal por el deslizamiento de mazamorra y citará a los alcaldes de La Paz y Achocalla,La Fiscalía de La Paz informó este lunes que ha abierto un proceso penal de oficio por el deslizamiento de mazamorra que cobró una vida y causó graves daños materiales en la zona Bajo Llojeta.,https://www.lostiempos.com/actualidad/pais/20241125/fiscalia-abre-proceso-penal-deslizamiento-mazamorra-citara-alcaldes-paz
25/11/2024,Fiscalía abre proceso penal por el deslizamiento de mazamorra y citará a los alcaldes de La Paz y Achocalla,La Fiscalía de La Paz informó este lunes que ha abierto un proceso penal de oficio por el deslizamiento de mazamorra que cobró una vida y causó graves daños materiales en la zona Bajo Llojeta.,https://www.lostiempos.com/actualidad/pais/20241125/fiscalia-abre-proceso-penal-deslizamiento-mazamorra-citara-alcaldes-paz
25/11/2024,Test. ¿Cuál es el destino perfecto en Bolivia para tus vacaciones?,Bolivia es un país con una diversidad de paisajes y culturas que ofrecen experiencias únicas a cada viajero,https://www.lostiempos.com/oh/tendencias/20241125/test-cual-es-destino-perfecto-bolivia-tus-vacaciones
