fecha,titulo,sumario,LastModificationDate,Id,PublicationDate,Url,Nodes_en,AuthorName
03-12-2024,Suman 11 muertos y cientos de familias damnificadas por lluvias," Santa Cruz registra su primera víctima tras el hallazgo del cuerpo de un menor de 13 años, que cayó a un canal de drenaje en la jornada del lunes.",2024-12-03T20:34:29.857Z,394026,2024-12-03T16:14:00Z,suman-11-muertos-y-cientos-de-familias-damnificadas-por-lluvias,PAÍS ,EL DEBER
03-12-2024,"Larach califica de ""mitin político"" el cabildo convocado para este miércoles",Asimismo instó al Ejecutivo Municipal realizar un estudio técnico y presentarlo al Legislativo para responder a las demandas del transporte que está en paro indefinido,2024-12-03T16:46:54.157Z,394027,2024-12-03T16:04:00Z,larach-califica-de-mitin-politico-el-cabildo-convocado-para-este-miercoles,Santa Cruz,EL DEBER
03-12-2024,"El provocativo humor de Lucho Miranda, el exitoso comediante chileno que ha hecho de su parálisis cerebral su mejor chiste","
                Pasó de ser contador a comediante hace sólo 4 años. Y hoy, Luis Miranda llena escenarios con sus auténticas rutinas de humor negro donde aborda la discapacidad sin complejos. Desde su casa en Chile, le contó su historia a BBC Mundo.
            ",2024-12-03T16:10:59.573Z,394022,2024-12-03T16:03:00Z,el-provocativo-humor-de-lucho-miranda-el-exitoso-comediante-chileno-que-ha-hecho-de-su-paralisis-cer,BBC,
03-12-2024,En qué consiste el nuevo programa de autorizaciones ETA para viajar a Reino Unido a partir de enero y a quién afecta,"A partir de 2025, todas las personas que deseen viajar a este país para una estadía corta necesitarán solicitar previamente un permiso ETA.",2024-12-03T16:01:18.223Z,394025,2024-12-03T15:58:38Z,en-que-consiste-el-nuevo-programa-de-autorizaciones-eta-para-viajar-a-reino-unido-a-partir-de-enero-,BBC,
03-12-2024,Gobierno dice que el PGE 2025 reorienta recursos de la Renta Dignidad para beneficiar a los más vulnerables,Las autoridades calculan que por año unos 40.000 adultos mayores se incorporan al universo de beneficiarios de la Renta Dignidad.,2024-12-04T01:44:52.483Z,394018,2024-12-03T15:56:32Z,gobierno-dice-que-el-pge-2025-reorienta-recursos-de-la-renta-dignidad-para-beneficiar-a-los-mas-vuln,ECONOMÍA,EL DEBER
03-12-2024,Encuentran el cuerpo del adolescente que cayó a un canal de drenaje en pleno aguacero ,"Gracias a la colaboración de cinco grupos de rescate, la búsqueda se intensificó y dio resultados casi al mediodía de este martes. El menor, de 13 años, pertenecía a la comunidad Ayorea, que está instalada en la Villa Primero de Mayo en Santa Cruz de la Sierra.",2024-12-03T21:29:49.68Z,394019,2024-12-03T15:39:00Z,encuentran-el-cuerpo-del-adolescente-que-cayo-a-un-canal-de-drenaje-en-pleno-aguacero,Santa Cruz,EL DEBER
03-12-2024,Antonela Roccuzzo y Lionel Messi son la cara de una marca deportiva,"Se trata de una campaña para Adidas, marca con la que Leo trabaja hace tiempo, la cual ahora suma a su esposa.",2024-12-03T15:21:22.893Z,394015,2024-12-03T15:20:56Z,antonela-roccuzzo-y-lionel-messi-son-la-cara-de-una-marca-deportiva,Sociales,Kathryn Chavez
03-12-2024,El 99% de los estudiantes de Santa Cruz ya cobró el Bono Juancito Pinto,Solo unos 5.000 estudiantes faltan por cobrar el incentivo de Bs 200. Pueden hacerlo hasta el 14 de diciembre.,2024-12-03T15:45:09.87Z,394016,2024-12-03T15:06:00Z,el-99-de-los-estudiantes-de-santa-cruz-ya-cobro-el-bono-juancito-pinto,Santa Cruz,Juan Delgadillo Perez
03-12-2024,Gobierno plantea incentivos de $us 1 y $us 2 por la producción de un millar de pie cúbico de gas natural,Los artículos se encuentran en el proyecto de Ley de Reactivación de la Exploración y Explotación de Hidrocarburos.,2024-12-03T15:02:34.217Z,394007,2024-12-03T15:02:29Z,gobierno-plantea-incentivos-de-us-1-y-us-2-por-la-produccion-de-un-millar-de-pie-cubico-de-gas-natur,ECONOMÍA,EL DEBER
03-12-2024,Ronico Cuéllar se une al hogar Don Bosco para evitar su cierre,"La feria solidaria se llevará a cabo el próximo 14 de diciembre, de 14:00 a 19:00, en el hogar Don Bosco, ubicado en la avenida Centenario.",2024-12-03T15:42:38.093Z,394017,2024-12-03T15:00:00Z,ronico-cuellar-se-une-al-hogar-don-bosco-para-evitar-su-cierre,Sociales,Kathryn Chavez
03-12-2024,Encapuchados tomaron tierras productivas con el apoyo de fusiles tácticos M-1,"La Policía retomó un predio asaltado, pero poco después los avasalladores irrumpieron en otros terrenos productivos y desmantelaron el campamento. Este grupo se organiza para traficar propiedades a pesar de los procesos en el INRA",2024-12-03T23:38:43.687Z,394014,2024-12-03T14:23:55Z,encapuchados-tomaron-tierras-productivas-con-el-apoyo-de-fusiles-tacticos-m-1,Santa Cruz,Guider Arancibia Guillen
03-12-2024,Ministro de Justicia: “Habilitamos la acción reparatoria civil y los trámites de extradición contra Sánchez de Lozada”,"El expresidente, Gonzalo Sánchez de Lozada, fue condenado a seis años de cárcel junto a tres exministros por daños al Estado.",2024-12-03T22:03:50.113Z,394012,2024-12-03T14:17:00Z,ministro-de-justicia-habilitamos-la-accion-reparatoria-civil-y-los-tramites-de-extradicion-contra-sa,PAÍS ,EL DEBER
03-12-2024,"En Las Brisas, el centro comercial con la mejor oferta de productos, viví el verdadero espíritu navideño","El emotivo encendido de luces, efectuado en el primer piso de Las Brisas, se convirtió en todo un acontecimiento que estuvo amenizado por Las Majas ",2024-12-03T14:31:56.93Z,394013,2024-12-03T14:16:00Z,en-las-brisas-el-centro-comercial-con-la-mejor-oferta-de-productos-vivi-el-verdadero-espiritu-navide,Te Puede Interesar,EL DEBER
03-12-2024,"Florentino Pérez ve el nuevo Bernabéu como uno de los estadios ""más magicos"" del mundo","Además, remarcó la influencia del estadio en el desarrollo de la zona donde se ubica, recordando que la semana que viene se celebra el aniversario de la construcción del campo y que “justamente aquí, en este lugar, en Chamartín, no había prácticamente nada hace 77 años”.",2024-12-03T14:17:53.96Z,394010,2024-12-03T14:11:00Z,florentino-perez-ve-el-nuevo-bernabeu-como-uno-de-los-estadios-mas-magicos-del-mundo,Fuera De Juego,Agencia EFE
